seriesdesc,seriestime,afd,rows,fov,voxelsize,contourname,suvmax,suvmin,suvmean,stdev,suvpeak,volume
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 04-01,1.069327,0.8196,0.9412729,0.0514123,,2.7686613
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 04-02,1.114612,0.8049446,0.9174235,0.0475194,,2.8142323
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 04-03,1.0691072,0.8297122,0.933682,0.040072,,2.7845683
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 04-04,1.0614864,0.7881643,0.900772,0.0530851,,2.8129427
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 04-05,1.0638313,0.7326939,0.9240394,0.0532215,,2.7970357
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 05-01,1.0506414,0.8138112,0.9556587,0.0478997,,2.7475953
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 05-02,1.0867668,0.8659108,0.9349076,0.0416832,,2.7927365
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 05-03,1.0447793,0.8270009,0.9307206,0.0337636,,2.7927365
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 05-04,1.0578226,0.8567513,0.9436613,0.0404508,,2.8026247
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 05-05,1.1034739,0.8250225,0.9657212,0.0457721,,2.8073537
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 06-01,1.1978544,0.8204793,0.9865195,0.0615752,,2.887748
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 06-02,1.1088232,0.8497167,0.9483543,0.0550587,,2.816812
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 06-03,1.0759952,0.7978368,0.9441848,0.0457447,,2.7665117
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 06-04,1.0844953,0.7660347,0.9400475,0.0606396,,2.800905
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 06-05,1.0852281,0.777246,0.9247318,0.0664361,,2.7832785
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 07-01,1.1972681,0.8508891,0.9874374,0.0639768,,2.7978957
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 07-02,1.0759219,0.8324968,0.9556283,0.0473952,,2.8095033
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 07-03,1.0755556,0.8741911,0.9756023,0.0367515,,2.7506049
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 07-04,1.0777538,0.8707471,0.9594355,0.0397186,,2.8120828
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 07-05,1.1231121,0.8412899,0.9634067,0.0506151,,2.7643621
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 08-01,1.1002498,0.7300558,0.92922,0.0648112,,2.796176
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 08-02,1.0654434,0.7799573,0.907789,0.0573025,,2.806494
